wav_id,발화문,상황
5f41450c9dd513131eacee49,내가 고혈압으로 쓰러지고 나서 우리 가족들이 한자리에 모이게 되었어. 그래도 가족들을 볼 수 있어 기뻐.,happiness
5f4145279dd513131eacee4a,진로에 대해 고민이 많았는데 진로를 결정했어.,happiness
5f4145429dd513131eacee4b,남편도 나도 만성 질환으로 지속적인 치료가 필요한 상황이지만 경제적으로 여유로워서 다행이야.,happiness
5f41455d9dd513131eacee4c,나이가 들수록 가족이 최고라는 생각이 들어.,happiness
5f4145859dd513131eacee4e,오늘 딸아이 남자친구가 집에 온대. 기대되네.,happiness
5f4145989dd513131eacee4f,나는 지금껏 잘 살아온 것 같아.,happiness
5f4145b89dd513131eacee50,아기가 태어난 걸 축하해주신 모든 분께 감사 인사를 드리고 싶어.,happiness
5f4145f69dd513131eacee52,기다리던 명절 연휴가 드디어 내일부터라니 너무 신이 나.,happiness
5f41461a9dd513131eacee53,천식을 한평생 달고 살았었는데 뉴스를 보니 천식 치료제가 개발되어서 기뻐.,happiness
5f41463e9dd513131eacee55,얼마 전에 시험에서 아깝게 한 개를 틀린줄 알았는데 알고 보니 맞췄대.,happiness
5f4146589dd513131eacee56,자식들이랑 손주들이 내  병문안을 마음 졸여서 기다리질 않아.,happiness
5f41467a9dd513131eacee57,내가 뭘 잘못했다고 저 사람은 시비야?,happiness
5f41469c9dd513131eacee58,나 다음 주에 결혼해.,happiness
5f4146b99dd513131eacee59,오늘 오랜만에 군대 동기 만나서 느긋하게 소주 한잔했어.,happiness
5f4146db9dd513131eacee5b,열이 나서 코로나에 걸린 줄 알고 걱정했는데 다행히 검사 결과가 음성이 나왔어. 편안해.,happiness
5f4146f39dd513131eacee5c,기분이 좋아.,happiness
5f4147089dd513131eacee5d,나는 공기업에 다녀서 정년이 보장돼.,happiness
5f4147209dd513131eacee5e,이직한 회사는 정말 좋아. 회사 가는 길이 기대돼.,happiness
5f41473b9dd513131eacee5f,옆집 아줌마는 이번에 다쳐서 손실보험 탔다고 기뻐하던데 나는 그럴 일이 없어서 다행이야.,happiness
5f4147619dd513131eacee61,오늘 아들놈 연애 상담을 해줬어. 내심 기분이 좋네.,happiness
5f4147779dd513131eacee62,은퇴는 했지만 경제적으로 넉넉한 생활을 유지하고 있어서 다행이야.,happiness
5f4147969dd513131eacee63,나 지금 신이 나서 뛸 듯이 기뻐.,happiness
5f4147ae9dd513131eacee64,언니가 내 고민을 잘 들어줘서 정말 좋아.,happiness
5f4147dc9dd513131eacee65,이번 점수는 좋지 못했지만 계속 꾸준히 공부하면 성적은?오르게 돼 있어.?그래서?불안하지 않아.,happiness
5f41487d9dd513131eacee74,집에 가서 가족들과 함께 하는 시간이 가장 편해.,happiness
5f4148959dd513131eacee75,급한 업무가 무사히 마무리 되고 박 과장님이 더 이상 재촉하지 않아서 마음이 편해.,happiness
5f4148b09dd513131eacee76,성적이 오르지 않아 고민이었는데 담임 선생님께서 도움을 많이 주셔서 매우 감사해.,happiness
5f4148cd9dd513131eacee77,결혼한 딸이 이번에 용돈을 올려줘서 고마워.,happiness
5f4148ed9dd513131eacee78,결혼하고 나서 마음이 더 편안해진 것 같아.,happiness
5f4149139dd513131eacee7a,이 나이에도 건강하게 술을 즐길 수 있는 게 제일 큰 축복인 것 같아.,happiness
5f4149299dd513131eacee7b,어제 마트에 딸이랑 같이 갔는데 정말 편했어.,happiness
5f4149479dd513131eacee7c,나 어제 고백받았어! 내가 전부터 짝사랑했던 사람이었는데.,happiness
5f41495e9dd513131eacee7d,룸메이트 덕분에 아르바이트를 쉽게 구할 수 있게 되어서 기뻐.,happiness
5f4149779dd513131eacee7e,노후대비해서 여유자금으로 부동산에 투자했는데 재개발에 들어간다고 결정이 나서 너무 기대되.,happiness
5f41499c9dd513131eacee80,며칠 전에 아내가 검진을 받았는데 다행히 혹이 음성이었다네.,happiness
5f414a0b9dd513131eacee83,내 동생은 정말 너무 자랑스러워!,happiness
5f414a289dd513131eacee84,관절염이 금방 치료가 된다고 해서 올해 농사를 무사히 마무리 할 수 있을 것 같아 기뻐.,happiness
5f414a419dd513131eacee85,병실 사람들과 내 병을 같이 이야기하니 위로받는 느낌이야. 편안하고 좋네.,happiness
5f414a679dd513131eacee87,오랜만에 집에 온 딸이 밥도 두 그릇씩 먹고 잠도 늦게까지 푹 자는 걸 보니 마음이 따뜻해져.,happiness
5f414a7c9dd513131eacee88,오늘 상사에게 꾸지람을 들었을 때 박 주임이 위로를 해주었어. 안 좋았던 기분이 싹 풀렸었어.,happiness
5f414a9b9dd513131eacee89,만족스러운 삶은 어떤 삶일까?,happiness
5f414ac39dd513131eacee8a,우리 남편에겐 정말 고마워. 애 낳고 나서 남편이 애를 너무 열심히 돌봐주고 있거든.,happiness
5f414ae39dd513131eacee8b,아내가 수술 후 입맛이 없어 힘들어하고 있는데 오늘 내가 만든 보양식으로 회복될 거야.,happiness
5f414b109dd513131eacee8d,대학교 입학하고 만나기로 한 중학교 동창들을 이번에 만나기로 했어!,happiness
5f414b269dd513131eacee8e,금일 의사 보고 왔는데 건강 관리 잘했다고 칭찬 받았어.,happiness
5f414b409dd513131eacee8f,친구들이랑 잘 화해했어.,happiness
5f414b609dd513131eacee90,남편이 죽기 전에 손자들 얼굴보고 싶다고 했는데 다행이 늦지 않아서 안도했어.,happiness
5f414b7a9dd513131eacee91,학교에서 오해로 친구들에게 따돌림을 당했어. 그랬는데 선생님께서 도와주셔서 다시 친구들과 잘 지낼 수 있게 되어서 좋아.,happiness
5f41cb619dd513131eacee93,병원에 갔더니 간호사가 이렇게 건강하고 몸 좋은 할아버지는 처음 본대. 너무 신나.,happiness
5f41cb7b9dd513131eacee94,일을 못하게 되었는데 집도 있고 연금도 나와.,happiness
5f41cb9b9dd513131eacee95,몸이 갈수록 안 좋아져서 걱정이었는데 김 노인이 치료에 도움이 되는 활동을 소개해줘서 고마워.,happiness
5f41cbfb9dd513131eacee97,내 남자친구가 내게 프러포즈를 했어.,happiness
5f41cc219dd513131eacee98,사람들과 어울림 그 자체가 좋아. 어떤 사람을 만나든지 마음을 열 각오가 돼 있어.,happiness
5f41ccf79dd513131eacee9e,이번 프로젝트 팀원들은 서로 존중해서 일을 함께 하면서 문제 생길 일이 없을 것 같아서 편해.,happiness
5f41cd159dd513131eacee9f,이번 시험 성적이 올라서 만족스러워.,happiness
5f41cd379dd513131eaceea0,막상 은퇴하고 보니 하루하루가 똑같은 일상이라 심심하군.,happiness
5f41cd589dd513131eaceea1,남편이 은퇴하게 되었어. 남편이 은퇴하게 되니 그동안 힘들게 회사에 다닌 것에 대해 감사한 마음이 들어.,happiness
5f41cdaf9dd513131eaceea2,월급 보너스가 들어왔어.,happiness
5f41ce859dd513131eaceeab,저녁 먹고 아내랑 산책하는 게 요즘 사는 낙이야.,happiness
5f41ce9a9dd513131eaceeac,우리 가족은 너무 믿음직스러운 것 같아.,happiness
5f41cee29dd513131eaceead,은퇴할 나이가 점점 가까워지면서 현실적인 문제들이 떠오르기 시작하더군.,happiness
5f41cf439dd513131eaceeaf,친구가 우리 부부 결혼기념일이라고 비행기 티켓 선물해줘서 너무 기뻐.,happiness
5f41cf799dd513131eaceeb0,친한 친구에게 상담을 받았어.,happiness
5f41cfb19dd513131eaceeb2,이번 모의고사는 일 등급이 나올 것이 확실해.,happiness
5f41d0279dd513131eaceeb5,그동안 진로를 찾지 못해 불편했는데 진로 체험에서 내가 하고 싶은 일을 찾은 것 같아 편안해.,happiness
5f41d0509dd513131eaceeb6,은퇴 후에도 생활비를 보장해 줄 수 있는 시스템을 만들어냈어. 너무 기뻐.,happiness
5f41d07f9dd513131eaceeb7,고객 응대 업무를 하느라 스트레스를 많이 받았지만 이번 달 급여가 많이 나와서 만족스러워.,happiness
5f41d0e79dd513131eaceebb,내 주위에 괴롭힘을 당하는 친구가 있어. 분명 나에게 도움을 청할 거야. 난 그렇게 자신해.,happiness
5f41d1259dd513131eaceebd,비록 취미이긴 하지만 나만큼 음식을 잘하는 사람은 없어. 내가 가게를 하면 잘 될 거라 자신해.,happiness
5f41d1429dd513131eaceebe,오늘 아내 생일이야. 식당 예약은 끝났고.,happiness
5f41d1809dd513131eaceebf,나는 은퇴를 하더라도 마음이 맞는 남편이 있으니 걱정이 없어.,happiness
5f41d1a69dd513131eaceec1,오늘 친구랑 점집에 같이 갔는데 전생에도 친한 친구였대. 너무 기쁜 거 있지?,happiness
5f41d1ce9dd513131eaceec2,내가 최고다. 다 덤벼.,happiness
5f41d2029dd513131eaceec3,나를 괴롭히던 가해자들 때문에 학폭위가 열렸으니 가해자들은 처벌을 받을 거야.,happiness
5f41d2279dd513131eaceec4,인터넷으로도 사람을 사귈 수 있다니 신기하다. 요즘 질환 때문에 우울했었는데 다행이야.,happiness
5f41d2449dd513131eaceec5,이제는 문서 프로그램 사용이 익숙해져서 여유롭게 작성 할 수 있어.,happiness
5f41d2e19dd513131eaceecd,아는 친구가 여행을 가게 돼서 나한테 반려견을 부탁했어.,happiness
5f41d2f69dd513131eaceece,정말 고마운 일이 있어.,happiness
5f41d3169dd513131eaceecf,오늘은 정말 신이 나네.,happiness
5f41d33f9dd513131eaceed0,병문안 온 친구와 병원 옥상에서 이야기하는 지금 이 시간이 좋고 행복해.,happiness
5f41d3659dd513131eaceed1,몇 달 전에 이사를 왔는데 주변 사람들이 반갑게 대해주어서 안도감이 들어.,happiness
5f41d38e9dd513131eaceed3,최종관문만 남겨놓고 있어. 곧 취직이 될 거 같아서 기분이 좋아!,happiness
5f41d3a49dd513131eaceed4,내가 가고 싶던 회사에 합격했어!,happiness
5f41d4459dd513131eaceed8,이메일을 잘못 보냈는데 다행히 거래처에서 읽기 전에 발송 취소를 했어. 너무 다행이야.,happiness
5f41d4699dd513131eaceed9,우리 가족 건강은 내가 책임지고 있어. 왜냐면 내가 건강하거든.,happiness
5f41d4ce9dd513131eaceede,아마 우리 가족만큼 화목한 가정은 세상 어디에도 없을 거야.,happiness
5f41d4e59dd513131eaceedf,오늘 회사에서 새 프로젝트를 성사시켰어. 오늘도 한 건 해서 만족스러워.,happiness
5f41d58c9dd513131eaceee4,나 올림피아드에서 금상 받았어! 그동안 고생이 헛되지 않아서 너무 기뻐.,happiness
5f41d5f79dd513131eaceee8,은퇴 후에 취미생활하면서 나한테 투자하고 있어. 너무 좋아.,happiness
5f41d61b9dd513131eaceee9,나는 우리 부서가 올해 최대 실적을 거둘 거로 생각하고 있어.,happiness
5f41d63e9dd513131eaceeea,아내가 퇴원한 기념으로 가족끼리 사진을 찍기 위해 사진관에 왔어.,happiness
5f41d6699dd513131eaceeeb,이번에 드디어 내가 들어가고 싶은 회사에 취업이 되었어. 너무 기뻐.,happiness
5f41d7229dd513131eaceef2,나는 항상 혼자 밥을 먹었는데 오늘 내 짝이 나에게 말을 걸더니 밥을 같이 먹자고 해서 기뻐.,happiness
5f41d73e9dd513131eaceef3,직장에서 정말 고마운 일을 겪었어.,happiness
5f41d7639dd513131eaceef4,내 아내는 어떤 상황에서도 바람을 피우지 않을 거라고 확신할 수 있어.,happiness
5f41d7849dd513131eaceef5,오늘 회사에서 기분 좋은 일이 있었어.,happiness
5f41d7ab9dd513131eaceef6,이번 년도에도 가족여행을 가게 됐는데 엄마가 무척 신나 보여.,happiness
5f41d7cc9dd513131eaceef8,중학교 때 만난 친구가 나에겐 제일 편안한 친구야.,happiness
5f41d7fe9dd513131eaceef9,이번에 노인대학에 다니게 됐는데 다행히 새로운 친구를 사귈 수가 있었어.,happiness
5f41d8629dd513131eaceefc,이번에 우리 과로 발령난 직장 대리가 아주 마음에 들어.,happiness
5f41d8899dd513131eaceefd,오늘 우리 딸이 취업시험에 합격했다고 전화가 왔어. 신이 나서 춤까지 췄다니까? ,happiness
5f41d8ea9dd513131eacef01,이제 나를 괴롭혔던 애들을 피해 등교하지 않아도 돼.,happiness
5f41d9159dd513131eacef02,요즘 신나는 일이 있어.,happiness
5f41d9779dd513131eacef04,내가 힘들 때 옆에서 날 잡아 준 동기 덕에 성공을 했는데 너무 기뻐.,happiness
5f41d99e9dd513131eacef05,이제는 건강 생각해서 시골에서 아내와 작은집에서 텃밭을 일구며 생활하려고 해.,happiness
5f41d9c39dd513131eacef07,나는 출산을 앞두고 있어. 무섭기는 하지만 정말 감사한 일이겠지.,happiness
5f41d9e59dd513131eacef08,오늘 아침은 기분도 마음도 좋아.,happiness
5f41da539dd513131eacef0b,오늘 비가 내렸는데 남편이 날 데리러 왔어.,happiness
5f41da779dd513131eacef0c,지금의 건강이면 백세까지도 끄떡없을 거야.,happiness
5f4259b69dd513131eaceff2,이번에 산악 동호회에 들어갔는데 굉장히 좋은 사람들인 거 같아.,happiness
5f4259d29dd513131eaceff3,오늘은 회사 외부에 업무를 잠깐 보러 갔다가 일 처리가 늘어져서 바로 집으로 퇴근했어.,happiness
5f4259ec9dd513131eaceff4,전에 다니던 회사에 다시 입사했어. 근무 환경이나 동료들이 친숙해서 기분이 좋네.,happiness
5f425a0a9dd513131eaceff5,오늘 생활기록부를 봤는데 감동했어.,happiness
5f425a299dd513131eaceff6,내 재정 상태를 믿고있어.,happiness
5f425a499dd513131eaceff8,남자친구한테 드디어 프러포즈를 받았어!,happiness
5f425a609dd513131eaceff9,수지는 성격이 특이하지만 내게 관심 많이 가져줘서 좋아.,happiness
5f425a7c9dd513131eaceffa,다리가 아픈 아내에게 줄 지팡이를 깎고 있는 지금 이 순간이 소중해.,happiness
5f425a939dd513131eaceffb,친구 뇌경색으로 오랫동안 입원을 했었는데 건강하게 퇴원하게 돼서 참 다행이야.,happiness
5f425aae9dd513131eaceffc,정신 없이 취업 준비를 해야 할 졸업 후인데 부모님의 지원 덕에 마음이 편하다!,happiness
5f425ad69dd513131eaceffe,이번에 아들이 병원비를 내줘서 목돈이 생겼어. 이걸로 뭐할까 생각만 해도 기분이 좋다.,happiness
5f425aef9dd513131eacefff,한 업무를 오랫동안 했더니 요즘은 편안하네.,happiness
5f425b0e9dd513131eacf000,내가 사둔 땅값이 올라 기뻐 이제 나도 남들에게 많이 베풀고 살아야겠다는 생각이 들어,happiness
5f425b319dd513131eacf004,좋아하는 과목이 있는데 이번 시험에서 백 점을 맞았어.,happiness
5f425b4d9dd513131eacf005,거래처 수정 요구에 난감했는데 팀장님께서 해결책을 주셨어. 한시름 놓았어.,happiness
5f425b749dd513131eacf00b,나 이번에 일등 했어!,happiness
5f425b8c9dd513131eacf00c,아내가 복용하는 약이 다 떨어져서 병원에 가고 있는데 병원  진료 시간이 얼마 남지 않아서 초조해.,happiness
5f425baa9dd513131eacf00d,친구탓에 더이상 못참겠어.,happiness
5f425bd09dd513131eacf00e,배우자 될?사람을 정말 잘 소개?받은 거?같아.,happiness
5f425bed9dd513131eacf00f,드디어 내가 가고 싶은 직장에 취업 성공했어!,happiness
5f425c169dd513131eacf011,우리 부장님께서는 어려운 업무도 알기 쉽게 설명해 주셔서 너무 감사해.,happiness
5f425c2d9dd513131eacf012,우리 아이들은 공부를 잘하지는 못하지만 크게 아픈 곳 없이 잘 자라주었어.,happiness
5f425c469dd513131eacf013,남자친구가 가방을 사줘서 신나. 연애는 좋은 거야.,happiness
5f425c669dd513131eacf014,우리 부모님께서 오늘 우리 반에 햄버거를 돌리셔서 어깨가 으쓱했어.,happiness
5f425c889dd513131eacf015,오 년 동안 날 괴롭게 하던 허리통증이 오늘 마침내 다 나았다!,happiness
5f425cc09dd513131eacf01b,성적이 많이 올라서 부모님이 기뻐하실 생각을 하면 눈물이 날 정도로 기뻐.,happiness
5f425cd79dd513131eacf01c,취업한 딸이 첫 월급이라고 하면서 백만 원을 주었어. 딸이 다 큰 것 같아서 뿌듯해.,happiness
5f425cf69dd513131eacf01f,올해 이사로 승진해서 연봉도 오르고 회사에서 차도 나와서 뿌듯해.,happiness
5f425d0c9dd513131eacf020,대학교수님이 갑자기 나를 부르셔서 긴장했는데 칭찬을 받아서 기뻤어.,happiness
5f425d239dd513131eacf024,친구들 만나러 지하철을 탔어.,happiness
5f425d509dd513131eacf028,병원 간호도 해주고 병원비를 책임져주는 남편이 있어 항상 든든해.,happiness
5f425d639dd513131eacf029,우리 집 아래에 총각이 살더라.,happiness
5f425d859dd513131eacf02a,난 내 업무만큼은 누구도 따라올 수 없는 경지에 이르렀다 자부해.,happiness
5f425da29dd513131eacf02b,이제 우리 막내 딸이 결혼을 한다고 하네.,happiness
5f425dc79dd513131eacf02c,수능 성적이 잘 나와서 원하는 대학에 지원할 수 있을 것 같아 무척 기뻐.,happiness
5f425df916bbac1317968f0f,요즘 내 상황에 많이 감사하고 있어.,happiness
5f425e4216bbac1317968f10,오늘 반가운 소식을 들어서 기분이 좋아.,happiness
5f425e609dd513131eacf039,모아놓은 돈도 충분하고 이 정도면 노후엔 문제없겠어.,happiness
5f425e7e9dd513131eacf03a,가해자들이 괴롭히려고 할 때 선생님이 도와주셔서 이젠 전혀 무섭지 않아!,happiness
5f425ea39dd513131eacf03e,아들이 나를 위해 비싼 보약을 지어 와서 너무 고맙고 뿌듯해.,happiness
5f425eba9dd513131eacf042,이번에 회사에서 사택을 마련해줬어. 아주 마음에 들어.,happiness
5f425ed79dd513131eacf043,체육대회 날 날 괴롭히던 친구들과 뒤섞여 축구경기를 하다 보니 다시 사이가 좋아져서 기분이 좋아.,happiness
5f425f4e9dd513131eacf04b,내가 만나는 사람은 거짓말도 하지 않고 약속도 잘 지켜서 너무 믿음직스러워.,happiness
5f425f669dd513131eacf04c,어제 종합검진 결과가 나왔는데 내 협심증 증상이 많이 좋아졌대! .,happiness
5f425fc19dd513131eacf04f,어제 가볍게 복권을 샀는데 오만 원 당첨이 됐어.,happiness
5f4260cc9dd513131eacf05a,나는 내 자식들을 누구보다 아끼고 사랑해.,happiness
5f4260e29dd513131eacf05b,우리 가족은 언제나 나를 믿어줘서 기뻐.,happiness
5f4261039dd513131eacf05e,내가 오늘 고백을 받았는데 그 사람과의 연애가 너무 기대가 돼.,happiness
5f4261379dd513131eacf062,이제 나도 후배가 생겨서 너무 좋아.,happiness
5f42614c9dd513131eacf063,펀드매니저인 내 친구 아들에게 내 보험금을 맡겨볼까 해.,happiness
5f42616f9dd513131eacf067,아내의 치료비를 다 마련했어.,happiness
5f4261859dd513131eacf068,이제야 쥐구멍에 볕이 드는 것 같아. 너무 기뻐.,happiness
5f42619c9dd513131eacf06b,오늘 항암치료를 마치고 퇴원하는데 의사가 나처럼 건강히 완치한 경우는 정말 드물대.,happiness
5f4261b19dd513131eacf06c,암에 걸렸는데 확실히 완치할 수 있을 거래.,happiness
5f4262089dd513131eacf074,오래 전에 사둔 주식이 최근 크게 올라서 이익을 봤어. 너무 기분이 좋아.,happiness
5f4262259dd513131eacf077,적금에서 발생한 이자로 수술비를 낼 수 있어서 돈을 번 느낌이라 기뻐.,happiness
5f4262449dd513131eacf07a,사장님이 자유분방한 분이라 사무실 분위기가 아주 편해.,happiness
5f42625a9dd513131eacf07b,안정적으로 사업을 자식들에게 물려줘서 큰 걱정이 없어.,happiness
5f4262889dd513131eacf07c,내가 집에 갈 때 혹시 괴롭힘을 당할까 봐 선생님이 바래다주셨어.,happiness
5f4277579dd513131eacf139,나 드디어 취업했어. 첫 직장인만큼 열심히 할 거야.,happiness
5f4277729dd513131eacf13a,아침에 임신테스트기 해봤는데 임신이래! 나 너무 떨려!,happiness
5f4277919dd513131eacf13b,엄마와 아빠의 사이가 좋아졌어. 평소에 자주 싸우셨는데.,happiness
5f4277c49dd513131eacf13c,내 롤 모델은 부모님이야. 나도 부모님처럼 되고 싶어.,happiness
5f4277e29dd513131eacf13d,나 이번에 원하는 직장으로 이직했어. 연봉도 만족스러울 만큼 협상이 잘 되었어.,happiness
5f4278099dd513131eacf13f,나는 우리 아이들이 무슨 일을 하든 믿고 응원해줄 예정이야.,happiness
5f42782c9dd513131eacf143,딸이 공무원 시험에 합격해서 정말 기뻐!,happiness
5f42784c16bbac1317968f11,난 학교 폭력 같은 건 절대 안 당할 자신이 있어.,happiness
5f4278659dd513131eacf14a,가족들은 내가 무엇을 하든 항상 날 응원해줘서 든든하고 편안해.,happiness
5f42789a9dd513131eacf14f,이번에 원하는 기업에 취업 성공했어. 취업 준비 기간이 길어질까 봐 걱정했는데 너무 다행이야.,happiness
5f4278e69dd513131eacf156,드디어 연금을 받을 수 있는 나이가 되어서 기쁘네.,happiness
5f4278f716bbac1317968f12,젊어서부터 건강식품을 꾸준히 챙겨 먹었더니 건강에는 자신 있어.,happiness
5f4279169dd513131eacf15b,요즘 매일 아침 운동을 한 보람이 있네.,happiness
5f42793c9dd513131eacf15e,어제 자연분만으로 아기를 낳았어! 너무 기쁘고 행복해.,happiness
5f42796b9dd513131eacf166,우리가족은 비밀이 없어.,happiness
5f4279b516bbac1317968f13,생각보다 종양이 심각하지 않아서 간단한 수술로 해결되었어. 너무 기뻐.,happiness
5f4279da9dd513131eacf173,돈을 미리미리 모아두길 잘한 것 같아. ,happiness
5f4279fb9dd513131eacf178,오늘 내가 가장 원하던 대학교로부터 합격 전화를 받았어! 기뻐.,happiness
5f427a189dd513131eacf17b,내가 미래의 직업이 확실하지 않아서 진로 선생님께 상담했는데 너무 잘해주셔서 꼭 감사 인사를 드리고 싶어.,happiness
5f427a3716bbac1317968f14,이번에 남편이 승진해서 기분이 너무 좋아.,happiness
5f427b139dd513131eacf191,아내와 결혼하고 나서 내 오랜 당뇨병 잠잠해. 아마 아내의 건강식이 좋은 영향을 준 것 같아.,happiness
5f427b3b9dd513131eacf192,오늘 본 시험이 생각보다 쉽게 나와서 기분이 좋아.,happiness
5f427b689dd513131eacf193,오늘 졸업식인데 선생님께서 아프셔서 오지 못하셨어. 그동안 감사하다는 말도 못 했는데.,happiness
5f427b8b9dd513131eacf194,난 내가 항암 치료를 겪어서 앞으로는 힘들어도 가족들에게 짜증 한 번 안 낼 것이라고 자신해.,happiness
5f427bad9dd513131eacf196,이민 갔던 친구가 오랜만에 한국에 온다네. 너무 기쁘고 기대돼.,happiness
5f427bc79dd513131eacf197,돈은 내가 자신 있어.,happiness
5f427c0e9dd513131eacf199,나는 노인이라도 성인병이 없어.,happiness
5f427c299dd513131eacf19a,오늘 선생님이 나 괴롭혔던 애들을 혼내주셨어.,happiness
5f427c549dd513131eacf19c,난 건강 관리를 잘하고 있어서 늘 죽음 앞에서 느긋해.,happiness
5f427c689dd513131eacf19d,내가 죽으면 내 장례식장에 와서 시끌시끌하고 가족들은 슬퍼하겠지?,happiness
5f427c8d9dd513131eacf19e,나 가족이랑 여행 가기로 했어!,happiness
5f427cb39dd513131eacf19f,아내가 나의 퇴원을 축하하기 위해 용돈을 올려 준다고 해서 기뻐.,happiness
5f427cce9dd513131eacf1a0,손녀가 당뇨에 좋다고 뽑아주는 식단이 아주 효과가 좋은 것 같아 기뻐.,happiness
5f427d669dd513131eacf1b4,손자들이 새총을 가지고 장난을 치다가 아들의 눈가에 맞아서 실명할 뻔했는데 다행이야.,happiness
5f427d7a9dd513131eacf1b7,동창이 당뇨로 한쪽 발을 잘랐는데 걱정과 다르게 건강해.,happiness
5f427d959dd513131eacf1b8,아들이 명절 때 집에 온다고 해서 오늘은 하루 종일 기분이 좋아.,happiness
5f427db69dd513131eacf1bb,오늘 진영이랑 교무실에 불려갔거든.,happiness
5f427ddb16bbac1317968f15,나는 먹는 것이 건강에 중요하다고 믿고 있어.,happiness
5f427f4e9dd513131eacf1d2,그래그래. 잘했어.,happiness
5f427f709dd513131eacf1d3,졸업하고 대학생이 된 게 믿기지 않아. 설레고 기뻐.,happiness
5f427fe49dd513131eacf1d8,내가 이끈 프로젝트가 이번에 대성공으로 끝났어. 너무 기뻐.,happiness
5f427ffd9dd513131eacf1d9,요즘은 편안한 기분이야.,happiness
5f4280349dd513131eacf1db,상사가 마음에 들지 않아서 오늘 퇴근 후에 입사 동기들이랑 상사 뒷말을 하면서 술을 마셨어. 후련하다.,happiness
